location,target,type,quantile,forecast_date,target_end_date,value
01,1 day ahead inc hosp,point,,2020-05-11,2020-05-09,54.8060208540599
01,1 wk ahead cum death,point,,2020-05-11,2020-05-16,504.461
01,10 day ahead inc hosp,point,,2020-05-11,2020-05-18,59.7934491969159
01,10 wk ahead cum death,point,,2020-05-11,2020-07-18,1448.257
01,100 day ahead inc hosp,point,,2020-05-11,2020-08-16,0
01,101 day ahead inc hosp,point,,2020-05-11,2020-08-17,0
01,102 day ahead inc hosp,point,,2020-05-11,2020-08-18,0
01,103 day ahead inc hosp,point,,2020-05-11,2020-08-19,0
01,104 day ahead inc hosp,point,,2020-05-11,2020-08-20,0
01,105 day ahead inc hosp,point,,2020-05-11,2020-08-21,0
01,11 day ahead inc hosp,point,,2020-05-11,2020-05-19,59.8177978481529
01,11 wk ahead cum death,point,,2020-05-11,2020-07-25,1507.212
01,12 day ahead inc hosp,point,,2020-05-11,2020-05-20,60.4056481972448
01,12 wk ahead cum death,point,,2020-05-11,2020-08-01,1553.678
01,13 day ahead inc hosp,point,,2020-05-11,2020-05-21,60.1220154786046
01,13 wk ahead cum death,point,,2020-05-11,2020-08-08,1553.678
01,14 day ahead inc hosp,point,,2020-05-11,2020-05-22,60.0628970650866
01,14 wk ahead cum death,point,,2020-05-11,2020-08-15,1553.678
01,15 day ahead inc hosp,point,,2020-05-11,2020-05-23,59.8545829546872
01,16 day ahead inc hosp,point,,2020-05-11,2020-05-24,59.640129672572
01,17 day ahead inc hosp,point,,2020-05-11,2020-05-25,60.1806954826134
01,18 day ahead inc hosp,point,,2020-05-11,2020-05-26,60.0276172021735
01,19 day ahead inc hosp,point,,2020-05-11,2020-05-27,59.6653074781256
01,2 day ahead inc hosp,point,,2020-05-11,2020-05-10,54.5693547723518
01,2 wk ahead cum death,point,,2020-05-11,2020-05-23,617.327
01,20 day ahead inc hosp,point,,2020-05-11,2020-05-28,60.0017308335112
01,21 day ahead inc hosp,point,,2020-05-11,2020-05-29,59.6129945245071
01,22 day ahead inc hosp,point,,2020-05-11,2020-05-30,59.5439935661432
01,23 day ahead inc hosp,point,,2020-05-11,2020-05-31,59.4830547057002
01,24 day ahead inc hosp,point,,2020-05-11,2020-06-01,59.5026755760493
01,25 day ahead inc hosp,point,,2020-05-11,2020-06-02,59.8841560607435
01,26 day ahead inc hosp,point,,2020-05-11,2020-06-03,59.0219607845113
01,27 day ahead inc hosp,point,,2020-05-11,2020-06-04,58.9053576418851
01,28 day ahead inc hosp,point,,2020-05-11,2020-06-05,58.571324193634
