quantile,value,type,location,target,forecast_date,target_end_date
0.01,4505,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.025,4781,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.05,5053,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.1,5394,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.15,5637,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.2,5795,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.25,5935,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.3,6085,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.35,6194,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.4,6343,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.45,6463,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.5,6650,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
,6650,point,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.55,6780,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.6,6944,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.65,7124,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.7,7278,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.75,7419,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.8,7574,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.85,7858,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.9,8135,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.95,8605,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.975,8967,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.99,9456,quantile,US,1 wk ahead inc death,2020-08-17,2020-08-22
0.01,3712,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.025,4123,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.05,4396,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.1,4680,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.15,4924,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.2,5128,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.25,5296,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.3,5477,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.35,5623,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.4,5749,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.45,5914,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.5,6072,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
,6072,point,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.55,6237,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.6,6383,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.65,6543,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.7,6674,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.75,6870,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.8,7082,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.85,7321,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.9,7723,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.95,8245,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.975,8722,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.99,9303,quantile,US,2 wk ahead inc death,2020-08-17,2020-08-29
0.01,2895,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.025,3170,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.05,3511,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.1,3859,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.15,4143,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.2,4421,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.25,4616,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.3,4765,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.35,4982,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.4,5129,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.45,5293,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.5,5496,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
,5496,point,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.55,5670,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.6,5860,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.65,6088,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.7,6325,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.75,6514,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.8,6762,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.85,7084,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.9,7418,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.95,8051,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.975,8931,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.99,9606,quantile,US,3 wk ahead inc death,2020-08-17,2020-09-05
0.01,2072,quantile,US,4 wk ahead inc death,2020-08-17,2020-09-12
0.025,2433,quantile,US,4 wk ahead inc death,2020-08-17,2020-09-12
0.05,2666,quantile,US,4 wk ahead inc death,2020-08-17,2020-09-12
0.1,2998,quantile,US,4 wk ahead inc death,2020-08-17,2020-09-12
0.15,3307,quantile,US,4 wk ahead inc death,2020-08-17,2020-09-12
0.2,3549,quantile,US,4 wk ahead inc death,2020-08-17,2020-09-12
0.25,3808,quantile,US,4 wk ahead inc death,2020-08-17,2020-09-12
0.3,4059,quantile,US,4 wk ahead inc death,2020-08-17,2020-09-12
0.35,4238,quantile,US,4 wk ahead inc death,2020-08-17,2020-09-12
0.4,4459,quantile,US,4 wk ahead inc death,2020-08-17,2020-09-12
0.45,4686,quantile,US,4 wk ahead inc death,2020-08-17,2020-09-12
0.5,4822,quantile,US,4 wk ahead inc death,2020-08-17,2020-09-12
,4822,point,US,4 wk ahead inc death,2020-08-17,2020-09-12
0.55,5026,quantile,US,4 wk ahead inc death,2020-08-17,2020-09-12
