forecast_date,target,target_end_date,location,type,quantile,value
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.01,4628.170692842
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.025,4776.108496612
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.05,4966.574930155
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.1,5228.922810909
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.15,5421.901328512
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.2,5603.87863825
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.25,5765.339244005
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.3,5910.805356946
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.35,6053.66743503
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.4,6213.876543599
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.45,6366.305842208
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.5,6524.112612118
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.55,6688.33166043
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.6,6853.544147504
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.65,7034.73292132
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.7,7240.538198388
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.75,7466.31126308
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.8,7725.53847905
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.85,8032.48941823
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.9,8439.98914993
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.95,9037.33698848
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.975,9556.97693204
2020-07-27,1 wk ahead inc death,2020-08-01,US,quantile,0.99,10133.95900375
2020-07-27,1 wk ahead inc death,2020-08-01,US,point,,6835.507365361
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.01,151085.406133
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.025,151233.324468
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.05,151423.776963
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.1,151686.128377
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.15,151879.091331
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.2,152061.054243
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.25,152222.493888
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.3,152367.956075
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.35,152510.885383
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.4,152671.093276
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.45,152823.475172
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.5,152981.112612
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.55,153145.00821
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.6,153310.278318
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.65,153491.432378
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.7,153697.289828
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.75,153922.957511
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.8,154182.281099
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.85,154489.049568
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.9,154896.58387
2020-07-27,1 wk ahead cum death,2020-08-01,US,quantile,0.95,155493.892912
