forecast_date,target,target_end_date,location,type,quantile,value
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.01,253.71
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.025,287.975
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.05,323.95
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.1,366
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.15,384
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.2,399.8
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.25,411.75
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.3,422
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.35,435
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.4,450
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.45,459
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.5,471.5
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.55,481
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.6,488
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.65,500
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.7,513
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.75,525.25
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.8,547.2
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.85,564
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.9,584.2
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.95,630
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.975,670
2020-08-03,1 wk ahead cum death,2020-08-08,04,quantile,0.99,779.18
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.01,253.71
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.025,287.975
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.05,323.95
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.1,366
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.15,384
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.2,399.8
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.25,411.75
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.3,422
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.35,435
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.4,450
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.45,459
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.5,471.5
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.55,481
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.6,488
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.65,500
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.7,513
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.75,525.25
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.8,547.2
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.85,564
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.9,584.2
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.95,630
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.975,670
2020-08-03,1 wk ahead inc death,2020-08-08,04,quantile,0.99,779.18
2020-08-03,1 wk ahead cum death,2020-08-08,06,quantile,0.01,530.96
2020-08-03,1 wk ahead cum death,2020-08-08,06,quantile,0.025,561.775
2020-08-03,1 wk ahead cum death,2020-08-08,06,quantile,0.05,618
2020-08-03,1 wk ahead cum death,2020-08-08,06,quantile,0.1,666
2020-08-03,1 wk ahead cum death,2020-08-08,06,quantile,0.15,700.85
2020-08-03,1 wk ahead cum death,2020-08-08,06,quantile,0.2,734
2020-08-03,1 wk ahead cum death,2020-08-08,06,quantile,0.25,763.75
2020-08-03,1 wk ahead cum death,2020-08-08,06,quantile,0.3,794.7
