forecast_date,target,target_end_date,location,type,quantile,value
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.01,113.99
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.025,122.975
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.05,136
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.1,157
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.15,176.85
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.2,189.8
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.25,199
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.3,210
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.35,222
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.4,233
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.45,245
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.5,254
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.55,263
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.6,277.4
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.65,293.35
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.7,316
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.75,338.25
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.8,379
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.85,417
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.9,461.500000000001
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.95,517.05
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.975,542.075
2020-07-06,1 wk ahead cum death,2020-07-11,04,quantile,0.99,598
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.01,113.99
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.025,122.975
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.05,136
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.1,157
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.15,176.85
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.2,189.8
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.25,199
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.3,210
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.35,222
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.4,233
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.45,245
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.5,254
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.55,263
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.6,277.4
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.65,293.35
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.7,316
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.75,338.25
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.8,379
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.85,417
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.9,461.500000000001
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.95,517.05
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.975,542.075
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.99,598
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.01,287
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.025,300
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.05,314.95
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.1,348.9
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.15,368.85
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.2,391
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.25,410.75
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.3,427.7
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.35,447.65
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.4,468
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.45,488.55
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.5,507
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.55,525.45
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.6,556.4
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.65,579
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.7,609
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.75,642.25
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.8,697.4
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.85,770.3
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.9,836
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.95,924
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.975,980
2020-07-06,1 wk ahead cum death,2020-07-11,06,quantile,0.99,1044.08
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.01,287
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.025,300
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.05,314.95
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.1,348.9
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.15,368.85
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.2,391
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.25,410.75
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.3,427.7
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.35,447.65
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.4,468
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.45,488.55
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.5,507
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.55,525.45
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.6,556.4
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.65,579
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.7,609
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.75,642.25
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.8,697.4
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.85,770.3
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.9,836
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.95,924
