forecast_date,target,target_end_date,location,type,quantile,value
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.01,131.98
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.025,146
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.05,157
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.1,171
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.15,184
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.2,191.8
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.25,199
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.3,206
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.35,219
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.4,226.6
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.45,233.55
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.5,238
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.55,247
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.6,254
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.65,264.35
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.7,274
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.75,283
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.8,294.2
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.85,312
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.9,335
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.95,364
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.975,389.1
2020-06-29,1 wk ahead cum death,2020-07-04,04,quantile,0.99,434.01
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.01,131.98
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.025,146
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.05,157
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.1,171
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.15,184
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.2,191.8
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.25,199
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.3,206
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.35,219
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.4,226.6
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.45,233.55
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.5,238
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.55,247
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.6,254
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.65,264.35
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.7,274
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.75,283
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.8,294.2
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.85,312
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.9,335
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.95,364
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.975,389.1
2020-06-29,1 wk ahead inc death,2020-07-04,04,quantile,0.99,434.01
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.01,271
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.025,304.875
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.05,322
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.1,345
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.15,365
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.2,382.8
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.25,398
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.3,410
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.35,419.65
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.4,434
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.45,444
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.5,457
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.55,469
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.6,477.4
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.65,494
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.7,507
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.75,524
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.8,539.2
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.85,560
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.9,585.1
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.95,641.05
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.975,663.025
2020-06-29,1 wk ahead cum death,2020-07-04,06,quantile,0.99,683.01
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.01,271
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.025,304.875
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.05,322
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.1,345
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.15,365
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.2,382.8
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.25,398
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.3,410
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.35,419.65
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.4,434
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.45,444
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.5,457
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.55,469
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.6,477.4
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.65,494
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.7,507
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.75,524
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.8,539.2
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.85,560
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.9,585.1
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.95,641.05
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.975,663.025
2020-06-29,1 wk ahead inc death,2020-07-04,06,quantile,0.99,683.01
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.01,183.96
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.025,198
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.05,212
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.1,231
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.15,246
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.2,264
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.25,279
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.3,291
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.35,302
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.4,312
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.45,327
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.5,341
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.55,349
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.6,362.4
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.65,376
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.7,388.6
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.75,399.25
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.8,418
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.85,435
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.9,467.1
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.95,498.05
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.975,541.1
2020-06-29,1 wk ahead cum death,2020-07-04,12,quantile,0.99,599.02
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.01,183.96
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.025,198
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.05,212
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.1,231
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.15,246
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.2,264
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.25,279
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.3,291
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.35,302
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.4,312
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.45,327
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.5,341
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.55,349
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.6,362.4
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.65,376
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.7,388.6
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.75,399.25
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.8,418
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.85,435
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.9,467.1
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.95,498.05
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.975,541.1
2020-06-29,1 wk ahead inc death,2020-07-04,12,quantile,0.99,599.02
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.01,91
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.025,103.975
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.05,115
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.1,128
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.15,136
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.2,143.8
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.25,151
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.3,157
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.35,163
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.4,168
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.45,174
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.5,180
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.55,186.45
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.6,192.4
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.65,201
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.7,210.3
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.75,219
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.8,226.2
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.85,235
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.9,249.1
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.95,267
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.975,286.025
2020-06-29,1 wk ahead cum death,2020-07-04,13,quantile,0.99,302.1
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.01,91
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.025,103.975
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.05,115
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.1,128
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.15,136
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.2,143.8
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.25,151
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.3,157
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.35,163
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.4,168
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.45,174
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.5,180
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.55,186.45
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.6,192.4
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.65,201
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.7,210.3
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.75,219
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.8,226.2
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.85,235
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.9,249.1
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.95,267
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.975,286.025
2020-06-29,1 wk ahead inc death,2020-07-04,13,quantile,0.99,302.1
2020-06-29,1 wk ahead cum death,2020-07-04,17,quantile,0.01,122
2020-06-29,1 wk ahead cum death,2020-07-04,17,quantile,0.025,139
2020-06-29,1 wk ahead cum death,2020-07-04,17,quantile,0.05,156
2020-06-29,1 wk ahead cum death,2020-07-04,17,quantile,0.1,177
2020-06-29,1 wk ahead cum death,2020-07-04,17,quantile,0.15,187
2020-06-29,1 wk ahead cum death,2020-07-04,17,quantile,0.2,200.8
2020-06-29,1 wk ahead cum death,2020-07-04,17,quantile,0.25,208
2020-06-29,1 wk ahead cum death,2020-07-04,17,quantile,0.3,215
2020-06-29,1 wk ahead cum death,2020-07-04,17,quantile,0.35,226
2020-06-29,1 wk ahead cum death,2020-07-04,17,quantile,0.4,235
2020-06-29,1 wk ahead cum death,2020-07-04,17,quantile,0.45,241
