forecast_date,target,target_end_date,location,type,quantile,value
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.01,92
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.025,102
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.05,111
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.1,122
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.15,130
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.2,136
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.25,142
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.3,149
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.35,154
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.4,159
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.45,165
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.5,171
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.55,175
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.6,181
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.65,186
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.7,192
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.75,198
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.8,206
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.85,215
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.9,226
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.95,246
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.975,261
2020-07-20,1 wk ahead inc death,2020-07-25,01,quantile,0.99,284
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.01,1348
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.025,1358
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.05,1367
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.1,1378
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.15,1385
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.2,1392
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.25,1399
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.3,1405
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.35,1410
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.4,1415
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.45,1421
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.5,1427
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.55,1432
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.6,1437
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.65,1443
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.7,1448
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.75,1455
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.8,1462
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.85,1470
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.9,1481
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.95,1499
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.975,1516
2020-07-20,1 wk ahead cum death,2020-07-25,01,quantile,0.99,1539
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.01,88
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.025,101
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.05,112
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.1,127
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.15,138
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.2,147
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.25,156
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.3,165
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.35,173
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.4,181
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.45,188
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.5,196
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.55,204
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.6,212
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.65,220
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.7,228
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.75,237
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.8,248
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.85,263
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.9,283
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.95,313
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.975,348
2020-07-20,2 wk ahead inc death,2020-08-01,01,quantile,0.99,391
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.01,1454
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.025,1473
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.05,1493
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.1,1517
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.15,1534
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.2,1548
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.25,1563
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.3,1576
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.35,1589
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.4,1600
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.45,1611
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.5,1623
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.55,1634
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.6,1647
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.65,1658
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.7,1670
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.75,1685
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.8,1701
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.85,1722
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.9,1749
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.95,1792
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.975,1831
2020-07-20,2 wk ahead cum death,2020-08-01,01,quantile,0.99,1896
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.01,79
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.025,95
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.05,108
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.1,126
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.15,140
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.2,151
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.25,165
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.3,176
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.35,186
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.4,196
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.45,206
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.5,219
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.55,231
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.6,242
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.65,254
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.7,267
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.75,282
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.8,301
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.85,325
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.9,359
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.95,426
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.975,482
2020-07-20,3 wk ahead inc death,2020-08-08,01,quantile,0.99,555
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.01,1552
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.025,1584
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.05,1616
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.1,1658
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.15,1689
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.2,1711
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.25,1736
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.3,1760
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.35,1781
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.4,1801
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.45,1821
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.5,1843
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.55,1865
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.6,1888
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.65,1910
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.7,1932
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.75,1961
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.8,1993
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.85,2034
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.9,2089
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.95,2182
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.975,2279
2020-07-20,3 wk ahead cum death,2020-08-08,01,quantile,0.99,2401
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.01,75
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.025,89
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.05,104
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.1,123
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.15,139
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.2,154
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.25,169
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.3,183
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.35,197
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.4,210
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.45,226
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.5,241
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.55,257
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.6,273
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.65,291
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.7,313
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.75,338
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.8,369
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.85,409
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.9,463
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.95,580
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.975,739
2020-07-20,4 wk ahead inc death,2020-08-15,01,quantile,0.99,952
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.01,1646
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.025,1692
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.05,1739
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.1,1796
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.15,1840
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.2,1876
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.25,1915
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.3,1951
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.35,1985
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.4,2018
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.45,2052
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.5,2085
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.55,2125
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.6,2159
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.65,2198
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.7,2243
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.75,2293
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.8,2347
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.85,2425
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.9,2526
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.95,2730
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.975,2945
2020-07-20,4 wk ahead cum death,2020-08-15,01,quantile,0.99,3247
2020-07-20,1 wk ahead inc death,2020-07-25,01,point,,170
2020-07-20,1 wk ahead cum death,2020-07-25,01,point,,1426
2020-07-20,2 wk ahead inc death,2020-08-01,01,point,,194
2020-07-20,2 wk ahead cum death,2020-08-01,01,point,,1620
2020-07-20,3 wk ahead inc death,2020-08-08,01,point,,217
2020-07-20,3 wk ahead cum death,2020-08-08,01,point,,1838
2020-07-20,4 wk ahead inc death,2020-08-15,01,point,,240
2020-07-20,4 wk ahead cum death,2020-08-15,01,point,,2079
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.01,0
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.025,0
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.05,0
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.1,0
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.15,0
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.2,0
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.25,1
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.3,1
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.35,1
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.4,1
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.45,1
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.5,2
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.55,2
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.6,2
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.65,2
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.7,2
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.75,3
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.8,3
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.85,4
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.9,4
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.95,5
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.975,6
2020-07-20,1 wk ahead inc death,2020-07-25,02,quantile,0.99,7
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.01,18
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.025,18
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.05,18
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.1,18
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.15,18
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.2,19
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.25,19
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.3,19
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.35,19
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.4,19
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.45,19
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.5,19
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.55,20
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.6,20
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.65,20
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.7,20
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.75,21
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.8,21
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.85,22
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.9,22
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.95,23
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.975,24
2020-07-20,1 wk ahead cum death,2020-07-25,02,quantile,0.99,25
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.01,0
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.025,0
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.05,0
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.1,0
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.15,1
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.2,1
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.25,1
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.3,1
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.35,1
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.4,2
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.45,2
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.5,2
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.55,2
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.6,3
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.65,3
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.7,3
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.75,4
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.8,4
2020-07-20,2 wk ahead inc death,2020-08-01,02,quantile,0.85,5
