forecast_date,target,target_end_date,location,type,quantile,value
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.01,134.861296850239
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.025,152.90449124076
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.05,171.507232681085
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.1,194.72232340186
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.15,214.740932335495
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.2,227.316226017254
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.25,239.699517341141
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.3,250.202111440946
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.35,261.052734871093
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.4,270.920951706281
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.45,280.711345516622
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.5,289.663198369139
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.55,300.402525005869
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.6,311.233163550111
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.65,324.137864282309
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.7,337.315546606242
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.75,350.076607109185
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.8,366.440903715856
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.85,385.464835678657
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.9,411.257339682342
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.95,451.034887802604
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.975,486.82707339809
2020-08-17,1 wk ahead inc death,2020-08-22,04,quantile,0.99,527.907853805563
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.01,101.467077362173
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.025,116.582168721417
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.05,133.388207669573
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.1,155.90282638902
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.15,174.165589918982
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.2,189.411736540979
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.25,203.166489534895
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.3,217.40975029604
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.35,229.619191958076
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.4,240.602237841376
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.45,251.738792210256
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.5,262.916695647761
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.55,274.245279309657
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.6,286.999870745405
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.65,300.876451010336
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.7,315.47127605923
2020-08-17,2 wk ahead inc death,2020-08-29,04,quantile,0.75,331.919071035602
