forecast_date,target,target_end_date,location,type,quantile,value
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.01,257.723894966712
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.025,289.92645785008
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.05,317.159391859326
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.1,348.206154829754
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.15,378.821352616901
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.2,399.135342320567
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.25,417.863881059894
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.3,435.124544314499
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.35,457.496061031329
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.4,478.133023480588
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.45,497.390334217331
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.5,512.615201157553
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.55,529.406914415775
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.6,548.273187816446
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.65,566.439804272691
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.7,586.279230437575
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.75,615.766332149456
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.8,641.724695827255
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.85,683.474032310795
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.9,736.861371791924
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.95,847.674480523066
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.975,930.480116673118
2020-07-13,1 wk ahead inc death,2020-07-18,04,quantile,0.99,1016.89032242091
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.01,282.809989678777
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.025,344.235183302174
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.05,389.46521714106
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.1,452.970081156807
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.15,492.647503526612
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.2,524.197056286574
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.25,552.354672719226
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.3,578.15844412682
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.35,605.469929358863
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.4,630.170914373256
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.45,659.339051401558
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.5,684.888604161519
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.55,711.580623115651
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.6,746.036960141827
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.65,781.612251662583
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.7,833.342915573121
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.75,880.136770984218
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.8,933.481112109846
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.85,1020.95722901734
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.9,1138.61862367618
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.95,1306.54159069208
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.975,1546.40937047021
2020-07-13,2 wk ahead inc death,2020-07-25,04,quantile,0.99,1781.28801203287
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.01,299.824229648122
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.025,372.080403650306
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.05,418.123056668726
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.1,508.691422392102
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.15,565.771889302354
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.2,618.998157942973
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.25,665.547625794606
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.3,700.000644266251
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.35,735.423847988425
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.4,770.895629645166
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.45,816.797195484381
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.5,849.387100571128
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.55,885.506433199442
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.6,934.765004079489
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.65,983.196048405266
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.7,1055.38484732445
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.75,1141.12551097314
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.8,1234.17246527898
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.85,1379.87967297201
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.9,1585.33101570324
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.95,1969.20391597213
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.975,2361.6062205138
2020-07-13,3 wk ahead inc death,2020-08-01,04,quantile,0.99,3208.3047663258
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.01,287.867422061284
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.025,356.007296153251
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.05,458.486115738219
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.1,588.50303453293
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.15,666.339735464537
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.2,730.378052065528
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.25,783.456065449155
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.3,839.010213888617
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.35,888.518254901803
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.4,934.505783488687
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.45,982.242942951196
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.5,1031.07799873532
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.55,1075.72677588686
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.6,1137.26703423115
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.65,1209.12620631402
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.7,1292.9795214074
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.75,1425.78469334871
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.8,1562.13794842292
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.85,1761.47543621492
2020-07-13,4 wk ahead inc death,2020-08-08,04,quantile,0.9,2069.09360942324
