forecast_date,target,target_end_date,location,type,quantile,value
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.01,138.763689143548
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.025,152.44197674686
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.05,167.268868706565
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.1,185.507656189288
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.15,199.885942429484
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.2,212.892951127204
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.25,224.085847372821
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.3,232.194636409226
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.35,242.607298737929
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.4,252.774120471963
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.45,261.027860341687
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.5,270.800753767449
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.55,279.228150406977
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.6,288.913401355317
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.65,299.735767184051
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.7,312.403872564385
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.75,324.521061970672
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.8,338.133287291595
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.85,355.021369979336
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.9,381.313965003827
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.95,421.926437726781
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.975,456.579100625502
2020-07-06,1 wk ahead inc death,2020-07-11,04,quantile,0.99,507.507540325112
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.01,166.27100448917
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.025,189.25452196261
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.05,213.205687685974
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.1,240.545169576492
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.15,260.852354647717
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.2,277.614196465075
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.25,290.467068498838
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.3,305.564968814139
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.35,322.073863450868
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.4,336.734625393089
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.45,350.626505789519
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.5,363.9128461608
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.55,381.40474418252
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.6,398.103660330604
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.65,418.098745134271
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.7,436.329611713895
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.75,456.362873524642
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.8,477.292084027884
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.85,505.901117086257
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.9,544.1078000445
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.95,598.361586939321
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.975,658.290298175919
2020-07-06,2 wk ahead inc death,2020-07-18,04,quantile,0.99,735.422605260934
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.01,160.206035892691
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.025,188.075269832372
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.05,210.25908920609
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.1,245.626372802936
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.15,267.632958258341
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.2,291.134112457816
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.25,310.216729948993
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.3,328.119847106479
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.35,347.033853944923
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.4,367.020029716399
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.45,388.643895143301
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.5,407.547687724693
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.55,430.843699436871
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.6,452.035702901967
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.65,477.570557372082
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.7,504.576794134687
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.75,536.126505820969
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.8,573.041111606479
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.85,615.5831253974
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.9,664.015873149748
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.95,750.460530139575
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.975,829.781631163376
2020-07-06,3 wk ahead inc death,2020-07-25,04,quantile,0.99,959.28599880869
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.01,164.518963345126
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.025,186.317177082782
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.05,209.365306333493
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.1,243.759624377313
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.15,274.441368152013
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.2,297.924527460985
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.25,319.821956501598
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.3,346.407866851874
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.35,370.022180573591
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.4,390.733198871839
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.45,413.886225030254
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.5,439.317748010733
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.55,465.971770649537
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.6,495.144004345797
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.65,527.866005672421
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.7,560.555742172768
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.75,601.076681076042
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.8,650.420898567571
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.85,711.014475445555
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.9,788.811213683243
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.95,895.168581365047
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.975,1032.85357823328
2020-07-06,4 wk ahead inc death,2020-08-01,04,quantile,0.99,1172.25348015712
2020-07-06,1 wk ahead inc death,2020-07-11,04,point,,270.800753767449
2020-07-06,2 wk ahead inc death,2020-07-18,04,point,,363.9128461608
2020-07-06,3 wk ahead inc death,2020-07-25,04,point,,407.547687724693
2020-07-06,4 wk ahead inc death,2020-08-01,04,point,,439.317748010733
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.01,332.689357690708
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.025,352.381229345357
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.05,374.461959098156
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.1,402.393554857677
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.15,424.769443685675
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.2,441.016142221478
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.25,453.442427579443
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.3,467.347322223879
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.35,478.949264594724
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.4,490.635670574472
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.45,502.770713624039
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.5,514.505627920505
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.55,527.086038610414
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.6,539.581630912065
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.65,554.077629400422
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.7,568.922883647933
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.75,585.633722894827
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.8,606.065211086292
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.85,625.279723734177
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.9,656.275439724552
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.95,703.989112475212
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.975,743.10041252234
2020-07-06,1 wk ahead inc death,2020-07-11,06,quantile,0.99,795.224748743707
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.01,343.442279645836
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.025,369.40691469778
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.05,406.89097112952
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.1,449.721575310019
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.15,487.287847244521
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.2,509.14379121638
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.25,535.128290109657
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.3,553.566065158744
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.35,574.416460679609
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.4,598.137952109191
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.45,618.958174066295
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.5,638.176576125751
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.55,658.274184093376
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.6,681.521844648013
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.65,707.611471673077
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.7,730.902612826707
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.75,757.429650767562
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.8,786.742123922912
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.85,821.464309986858
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.9,879.285097357124
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.95,977.454314156991
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.975,1070.58300861331
2020-07-06,2 wk ahead inc death,2020-07-18,06,quantile,0.99,1191.67327142554
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.01,286.608173177284
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.025,331.891761410689
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.05,383.301017274176
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.1,441.826392826213
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.15,481.983401987622
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.2,519.849436253576
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.25,550.380648912484
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.3,578.747217351787
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.35,610.005101503099
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.4,638.430259053773
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.45,665.980339371606
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.5,698.344776603063
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.55,725.381844947318
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.6,756.931172664992
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.65,791.312327721448
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.7,830.024735914445
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.75,877.037695377338
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.8,921.765216403909
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.85,984.913069221871
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.9,1083.92614021455
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.95,1230.8877933688
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.975,1422.48401562985
2020-07-06,3 wk ahead inc death,2020-07-25,06,quantile,0.99,1717.49229348172
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.01,232.9206507111
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.025,284.846469007189
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.05,335.167365492263
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.1,421.509160906089
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.15,480.659230435672
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.2,518.739573519141
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.25,562.461934570669
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.3,604.042704079297
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.35,639.737615171558
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.4,678.70071167587
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.45,712.543070172858
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.5,747.90048414076
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.55,790.17366241284
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.6,836.02040144558
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.65,885.130834543126
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.7,939.954303367152
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.75,1007.97284047048
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.8,1082.56299931177
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.85,1173.69062134734
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.9,1306.07868100428
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.95,1581.93286729291
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.975,1886.07901495665
2020-07-06,4 wk ahead inc death,2020-08-01,06,quantile,0.99,2471.46794554637
2020-07-06,1 wk ahead inc death,2020-07-11,06,point,,514.505627920505
2020-07-06,2 wk ahead inc death,2020-07-18,06,point,,638.176576125751
2020-07-06,3 wk ahead inc death,2020-07-25,06,point,,698.344776603063
2020-07-06,4 wk ahead inc death,2020-08-01,06,point,,747.90048414076
2020-07-06,1 wk ahead inc death,2020-07-11,12,quantile,0.01,294.524362972882
2020-07-06,1 wk ahead inc death,2020-07-11,12,quantile,0.025,316.797196009569
